keys,en,ru
AD25,"Fire... Water... Wind... And we are probably coming after the earth, right? Sure we near",Огонь... Вода... Ветер... И скорее всего нас ждёт сила земли. Уверен мы близко
AT26,First freeze,Первые заморозки
AD26,"Another freezer for supplies. Hey, somebody place us in the container and write down ""Careful not to tilt"".","Очередной холодильник для припасов. Осталось только поместить нас в контейнер и написать ""Осторожно, не кантовать""."
AT27,Underground,Подзёмкино
AD27,The dude projecting all of this probably thought that it will be funny to confuse traces to that place.,"Проектировавший всё это наверняка думал, что будет прикольно запутать следы в это место."
AT28,Metro,Метро
AD28,"Punch station, everyone ready for the ride. We need to go with some explosive skills here.","Станция выдачи тумаков, все готовы к посадке. Нужно как следует пройтись разрывными умениями по этому месту."
AT29,Needle in haystack,Иголка в стоге сена
AD29,"Task is pretty simple. Find the box and press the button. Or one of us will stay here forever, not a great cost to make.",Задача предельно проста - найти ящик и поставить на пластину. Или всего лишь оставить кого-то из нас стоять тут вечность.
AT30,Stantions,Станции
AD30,"Every section on that level contains cross road, which may be a potential exit.","Каждый раздел на этом уровне содержит развилку, которая может оказаться путём к выходу."
AT31,Leapfrog,Чехарда
AD31,Let us remember some jump in length basics.,Пора вспоминать основы прыжков в длину.
AT32,From other side,С другой стороны
AD32,Hope my hand won't slip from my whip and will hold it tight like these chains connecting the gaps.,"Надеюсь моя рука будет сжимать кнут также крепко, как и эти цепи, соединяющие разрыв."
AT33,Outside,Снаружи
AD33,It's the obstacle course on the way. In games of such genre it means one thing. The finale is soon.,Полоса препятствий на подходе. В играх такого жанра это значит одно. Скоро финал.
AT34,Inside,Внутри
AD34,"All we do is just go up-down, up-down. The cross up there is pharaoh burial. Time has finally come.","На самом деле мы только и делаем, что движемся вверх-вниз, вверх-вниз. Проступающий крест - захоронение фараона. Время пришло."
AT35,Grand Finale,Финал
AD35,"Our research will turn around the world, make it to the history and become legendary.","Пусть наше открытие перевернёт мир, войдёт в историю и станет легендарным."
WT1,World after origin cave,Мир после пещеры истоков
WD1,"After we were sent to find an artifact we found another researcher in bad condition. Also we found unknown technology, nothing to care about.","Отправившись на поиски за артефактом мы успели найти другого горе-исследователя, да неизвестные нам технологии, всего-то."
WT2,World after smoke cave,Мир после туманной пещеры
WD2,We got the rain power after going through all the cave corridors. It surely will help a lot in the future.,Немного пройдя вглубь длинной пещеры мы заполучили силу дождя. Это еще подсобит в будущем.
WT3,World after sparkling cave,Мир после искрящейся пещеры
WD3,"We just cool down after sun's heat and pull our legs out of quicksand. But no, there is more. We just view how another researcher drops cold.","Не успели мы перевести дух от палящего солнца и тяжести зыбучих песков, как нас словно из ушата окатило леденящим зрелищем о пропаже другого искателя."
WT4,World before temple,Мир перед гробницей
WD4,Path is crystally clear and we are happen to be just before unknown entry of sand and rock. According to the notes there is lying mighty leader of the past.,"Путь чист и мы находимся прямо перед входом в неизведанные глубины из песка и камня, где согласно записям захоронен могущественный правитель прошлого."
ZT1,"Serious intentions, lost area","Серьёзные намерения, утерянная зона"
ZD1,After you pick item up silently but its owner goes away - you earned it.,"Тихо поднял и ушёл, а хозяин обошел - называется нашёл."
ZT2,"Community, zone lost","Общественная деятельность, зона утеряна"
ZD2,This place is like a temple to worship some God.,"Это место напоминает храм, где покланяются какому-то божеству."
ZT3,"Soul, don't see the zone","Душа, зона пропала из виду"
ZD3,There are statues containing a warm of life.,"Здесь находятся статуи, от которых веет живым теплом."
ZT4,"Time, area disappeared","Временные трудности, зоны не видно"
ZD4,Interesting installation. It reminds us about the most sacred thing.,"Интересная инсталляция, напоминающая нам о самом ценном."
ZT5,???,???
ZD5,Unknown,Неизвестно
