keys,en,ru
L11_1R,It make a great palace of all of this boxes,Из всех этих ящиков вышел бы целый дворец
L11_2Q,"Ha-ha, can't afford anything better?","Ха-ха, не можешь позволить себе чего подороже?"
L11_3R,"You shouldn't speak at all, will live longer, telephone warrior","Ты там вообще помалкивай, дольше проживешь, телефонный воин"
L11_4K,"What is a whack-a-bam we have on the tail? Did, take a stance, you doing nothing here","А что это вообще за бух-ты-барах у нас на хвосте? Дид, разберись-ка, все равно баклуши бьешь"
L11_5D,"Sch-sch, connection problems... sch-sch","Пш-пш, проблемы со связью... пш-пш"
L11_6R,Damn! Don't get anything?,Зараза! Не ловит?
L11_7K,"All he got, he just got lazy frequence","Да все он улавливает, на ленивой частоте просто сидит"
L11_8Q,"Are you missed me, baby?","Уже соскучился по мне, пупсик?"
L11_9K,Ouch... All is out of our touch...,Ай... Все у нас так...
L12_1Q,A-la-la-la,А-ля-ля-ля...
L12_2K,"He is just so annoying, can't stand",Как же он порой меня достает
L12_3R,"Don't think too much, we go outside and thank joker fully for the best","Не парься, на поверхность выйдем и отсыпем благодарностей шутнику за все хорошее"
L12_4K,"That architecture got some style, I see","У здешних архитекторов есть чувство стиля, как я погляжу"
L13_1R,Colorful stone! Grab-grab-grab!,Цветной камень! Хвать-хвать-хвать!
L13_2K,"Hold on, give some piece to me","Разошелся, мне отщипни кусочек"
L13_3R,How is it?,И как оно?
L13_4K,"I don't cry, it's just the rain","Я не плачу, это дождь"
W13_1Q,A...,А...
W13_2K,"Listen to me here, you, ruthless intervener, you will mess our things up - you won't be able to call us anymore","Значит послушай сюда, наглый интервенец, будешь нам мешать - звонить разучишься"
W13_3D,"I love you too, Rock","Я тоже тебя люблю, Рок"
W13_4R,"Leave all that trouble, we have some intruder, Did. Waiting for fix?","Отставить заморочки, у нас какой-то левый чувак завелся, Дид. Исправишь?"
W13_5D,"He is hearing us on same frequency. Even if I set it up, it is question of time, when he will join again","Он слышит нас на той же частоте. Даже если я ее перенастрою, то это вопрос времени, когда он снова присоединится"
W13_6K,"So, will you fix it, won't you?","Так ты чинить будешь, нет?"
W13_7D,Why? Just leave that way,Зачем? И так сойдёт
W13_8R,What kind of flesh digger is it?!,Это что за кожаный землерой?!
W13_9K,Hold onto something and fight!,Хватайся за что-нибудь и дерись!
L13_10K,"As you know, good always win. So who is the winner is good","Как известно, добро всегда побеждает. Значит кто победил, тот и добрый"
L14_1R,... Locked?,... Заперто?
L14_2K,"Don't hurry up the results, there is electric shield. It is meaning something","Не торопись с выводами, тут электрический щиток, значит явно за что-то отвечает"
L14_3D,We don't know about ancients,Что-то мы явно не знаем о древних
L14_4K,"Absolutely. Let me a try to connect these shields with rain puddle, Ray","От слова совсем. Дай-ка я соединю эти два щитка лужами, Рей"
L14_5R,"You better know, what a ridiculuous idea it is","Ты лучше моего знаешь, насколько бредовая это затея"
L14_6K,"So, you don't mind whole teleporters concept levels before?",Т.е. полноценные телепортеры несколькими уровнями ранее тебя не смутили?
L14_7K,"Sezam, open!","Сезам, откройся!"
L14_8R,It's surely open...,И в правду открылся...
L14_9Q,"Ladies and gentlemen, we are returning to amazing world of archeology digging..","Дамы и господа, а мы возвращаемся в наш удивительный мир археологических раскопок..."
L14_10R,"Mouth, close!","Рот, закройся!"
L15_1K,"Electricity, advanced tech, how deep are ancient rabbit holes","Электрика, продвинутые технологии, насколько же глубоки все эти кроличьи норы у древних"
L15_2R,"It is sanitary tech more, if you make path for water from A to B point","Скорее сантехника, раз уж ты воду проводишь из точки А в точку Б"
L15_3D,"Well, it seems, you won't know what you are working with, until you try it...","Вот так и не узнаешь, в чем заключается твоя работа, пока не попробуешь..."
L15_4Q,Euh! Why don't you pay attention at me? I am the authority! I may get sad,Эу! Вы почему не обращаете на меня внимания? Я ведь авторитет! Могу и обидеться
L15_5R,"Salute, big you shot","Салют, большая ты шишка"
L16_1R,For some is a translator and for some is a lever,"Для кого переключатель, а для кого и рычаг"
L16_2Q,"Hihihi, auhihihi","Хихихи, аухихихи"
L16_3K,Do you need a fool badge? Or you stick it to your forehead yourself?,"Тебе выдать значок, что ты дурачок? Или сам себе его на лоб налепишь?"
L16_4Q,Fe!,Фи!
L17_1K,Let's light be here!,Да будет свет!
L17_2Q,"Making strange noises *tuc-tuc*, making strange noises *bam-bam*, so nobody forgets me, I am that important...","Издаю непонятные звуки *тук-тук*, издаю непонятные звуки *бэм-бэм*, лишь бы обо мне не забыли, я ж такой важный"
L17_3R,Do you know that we recording all of it?,"Ты ведь в курсе, что мы все это записываем?"
L17_4Q,"Well, I should take a footprint of myself for the history too!","Ну конечно, надо же оставить свой след на память!"
L18_1Q,"No, no, no, I am serious now","Не, не, не, вот сейчас я серьёзен"
L18_2R,"Well, seriously enough...","Да уж, серьёзнее некуда..."
L18_3D,"Something tells me, I hear that voice before","Что-то мне подсказывает, что я уже слышал этот голос"
L18_4Q,"Wait, wait, I just filling the void. I am not waiting for anything","Ой, что ты, что ты, я просто заполняю собой пустоту. И явно ни на что не претендую"
L19_1R,"What level number is it, don't remind us, Did?","Какой это по счёту уровень, не напомнишь, Дид?"
L19_2D,"You write in your travel bag, which somehow dissolve in thin air, you forgot?","Ты ведёшь записи в своём походном чемоданчике, который затем растворяется в воздухе, забыл?"
L19_3K,On the bottom of the left panel by straight dev if you don't remember,Снизу на левой панели прямого разраба если не помнишь
L19_4Q,"Wait, are you really just leave behind unconscienceness guy, surronded with no secure views by far?","Погодите-ка, вы реально забили на чувака, который валяется без сознания, окруженный явно не безопасными видами повсюду?"
L19_5R,Yes.,Да.
L19_6N,Crack!,Хрясь!
L19_7R,Dude...,Чувак...
L19_8N,Why can't I beat you up?!,Почему я не могу тебя задеть?!
L19_9R,Plot armor says hello!,Сюжетная броня передает привет!
L21_1R,A-a-ah! Why so fast?!,"А-а-а, что так резко-то?!"
L21_2K,"E-e-ah, finally, good roads! Oh, now I see, who shouldn't go over the border line","Е-е-е, ровные дороги. О, вот для чего пишут - не заходите за ограничительную линию"
L21_3D,Time to unnecessary monologue,Время для нудного монолога
L21_4R,"Oh, no","О, нет"
L21_5Q,"Oh, yes!","О, да!"
L21_6D,"Don't have a mood, go craft something from the materials","Настроения нет, пойду из остатков материалов слеплю что-нибудь"
L22_1D,"Well, how do you do?","Ладно, так что там у вас?"
L22_2R,"I make meat with my whip then burn it to crisp, while Rock pours all out","Я делаю кнутом отбивные и жарю шашлыки, а Рок всем разливает"
L22_3Q,"Sounds like a hard party. Eh, I need to take some application form bins to myself. What a staff we are losing...","Звучит как очень зачетная туса. Эх надо бы пару-тройку урн с анкетами к себе переносить, каких кадров теряем"
L22_4D,"Well, who is responsible that your man can't differ between trash and sending station?","Ну а кто виноват, что поставленный тобой человек на входе урну от отправочной стойки отличить не может?"
L23_1Q,"Quiet, we not spend on sending station","Тише-тише, мы же на отправочных стойках экономим"
L23_2D,Tell it to the janitor,А ты уборщику это скажи
L23_3Q,Why? Anytime I just hear that there are no suitable people to recruit,"Зачем, если я и так каждый раз слышу, что достойных ребят нет?"
L23_4D,...,...
L24_1D,"You just got burned, daddy","Спалился ты уже, батенька"
L24_2Q,"I didn't, conspirasy theorist! May you appear smarter next time","Да не спалился я, конспиролог! Может в следующий раз за умного сойдёшь"
L24_3D,"Well, they don't know your name, but it seems pretty clear who you are, so don't brag too much","Ну они имени твоего не знают, но тут и так понятно кто ты есть, так что ты там не выпендривайся давай"
L24_4R,"Girls, girls, don't fight. We need to listen that ancients have to say","Девочки, девочки, не ссорьтесь. Нам еще нужно выслушать, что древние скажут по этим вопросам"
L25_1D,"I didn't have a second thought, that I will work remotely in my 70s","Не думал я, что в свои семьдесят наконец буду работать удаленно"
L25_2Q,"Calm down, retiree without a salary, you got this","Спокойно, пенсионер без пособия, привыкнешь"
L25_3R,Meeeh...,Мдэээ...
L25_4K,"Good work, it is 25th gut on the row","Отличная работа, уже 25-ая кишка по счёту пройдена"
L25_5R,"Reminds me a story, when we stand around the trench. Chris threw a grenade and bonked twenty people. Then it explode","Напоминает мне тот случай, когда мы тусили около канавы. Крис тогда метнул гранату и грохнул двадцать человек. А затем она взорвалась"
L25_6K,"Heh, yes, it was funny. You almost lose your leg there","Хех, да, весело было. Забавно, что тебе тогда чуть ногу не оттяпало"
L25_7R,It was the best moment,Это был самый лучший момент
L25_8K,Don't have any doubt,Не сомневаюсь
W25_1R,"It is dark out there, how about some rest? What possibly go wrong?","Уже стемнело, надо бы отойти на ночлег. Что может пойти не так?"
W25_2K,"Honestly, this ""adventure"" really tire me up","Честно, все это ""приключение"" знатно выматывает"
W25_3R,"Agree, what is the point?","Согласен, непонятно к чему это всё?"
W25_4K,"Did knows that... But I trust him out of curiousity. Different puzzles, dangers, where else you will see any of that","Дид его знает... Но я доверяю ему из любопытства. Различные головоломки, опасности, где ты еще такое увидишь"
W25_5R,"Welcome, a night snack!",А вот и ночной полдник пожаловал!
W25_6K,Enjoy your meal!,Приятного аппетита!
L26_1K,What a palace we have here,Ну и хоромы
L26_2R,"Heaven for the acrobat, don't you see?","Рай для акробата, не находишь?"
L26_3K,The ancient won't give up his gem that easy,Видимо древний нам свою безделушку так просто не отдаст.
L26_4R,Let's professional take place here!,Доверьте это дело профессионалу!
L27_1Q,"Euh! It's me, is anyone home? I'm asking... Is anyone home? What a deal...","Эу, это я, тут кто-нибудь дома? Я спрашиваю... Тут кто-нибудь дома? Во дела..."
L27_2D,"Hm, I study energy question in ancient Egypt and found something","Хм. Я немного изучил вопрос касательно электроэнергии в древнем Египте, выяснил вот что"
L27_3R,A-a-and... what?,И что же?
L27_4D,It shouldn't be there,Ее там быть не должно
L27_5K,Genius,Гений
L27_6D,"Some of books have ""PsyEnergy"" term. It is written, that there small group of people, calling themselves ""Adepts""","В некоторых писаниях встретил понятие ""Пси-Энергии"". Мол, существует не так много людей, называемых ее адептами"
L27_7R,"Hm, but more fresh notes contains ""Resource"" as key word. I think it's real title, but that of yours is just a pronounce","Хм, но в свежих сведениях сказано о ""Ресурсе"". Скорее всего это настоящее название, а то лишь обращение"
L27_8K,"Yeah, Did, seems you encounter some of ancient trade holders, who will write anything to increase product cost. Time passes by, nothing changes","Да, Дид, похоже ты наткнулся на древних барыг, которые писали все что угодно, лишь бы втюхать свой товар подороже. Времена идут, ничего не меняется"
L27_9D,"Seems interesting, tell me more about Resource","Как интересно, а расскажите-ка мне больше о ""Ресурсе""..."
L27_10K,"This is a legend from martial arts master. With its power we can have connection with another, spiritual realm","Это легенда, рассказанная нам мастером боевых исскуств. Благодаря нему, мы чувствуем связь с другим, духовным миром"
L27_11R,"Ancient use ""Father"" in their teachings. After some analyze we find it to be a God in a way. As the people don't have any ""super-skills""","Древние употребляют в своей речи ""Отца"", как мы поняли из их текстов, это божество, которому покланяются. Т.к. люди не обладают сверхспособностями, то..."
L27_12K,"We making a statement, that it happens to be a divine intervention and the ""Resource"" is a relationship between human and spirit","Мы сделали предположение, что происходящее ничто иное, как духовное вмешательство, а ""Ресурс"" - связь между человеком и духовным"
L27_13R,"The fact, we found ""Resource"" crystalls influencing our consciousness. Ether has similar effects","Это подтверждает тот факт, что мы нашли кристаллы ""Ресурса"", которые влияют на сознание. Эфиры обладают похожими свойствами"
L27_14D,"Very interesting, have you any understanding, what important info you kept there?","Очень интересно, вы понимаете, насколько важную информацию вы хранили все это время?"
L27_15K,You didn't ask,Так ты и не спрашивал
L27_16D,"You aren't there yet, to ask you!","А вы и не заходили так далеко, чтобы вас спрашивать!"
L27_17Q,Boooring...,Скууучно...
L27_18D,But we haven't such kind of tech here...,Но до нас эти технологии не дошли...
L:27_19R,"Don't you see the world state, Did?","Потому что видишь в каком состоянии мир, Дид?"
L27_20D,You are great pupils,"Да, быстро учитесь"
L28_1K,"Wait, stop. We already have electricity, haven't we?","Так, погоди, в смысле не дошли? У нас же есть электрика?"
L28_2D,That technology was forgotten and who know how long it would be lying here until you dug it,"Она была утеряна и неизвестно сколько лет прошло, если бы вы не откопали её"
L28_3R,"It seems to me, aura connects here. If you don't watch over your life, your breath won't last long","Мне кажется это как-то связано с аурой. Если не следить за жизнью, можно быстро обнаружить себя лежащим вверх тормашками"
L28_4D,"However, martial arts won't lead to energy control on such a level, magnificient...","И все таки, боевые исскуства не могли привести к управлению энергией на таком уровне, поразительно..."
L28_5R,I think it's divine revelation...,"Это ничто иное, как высшее откровение..."
L28_6K,It works and it's the main point,Главное что оно работает и на том спасибо
L29_1R,Too much space here,Просторно тут
L29_2K,"See the ledges, box and ropes will be there?","Выступы вижу, ящики и веревки будут?"
L29_3Q,"Guys, I understand that it has been tough out there, but may you be little more patient?","Ребята, я понимаю, что жизнь тяжела, но может вы потерпите немного?"
L29_4R,Dude. Are you all right or what?,Чувак. У тебя все в порядке?
L29_5K,I'm being shocked by lazy people in such times who won't shut up even for a second,"Поражаюсь людьми, которым нечем заняться в такие времена, при этом они болтают не затыкаясь"
L29_6D,"Oh, you don't even know about how much people will stand in your way","О, вы даже не догадываетесь, через каких людей вам ещё предстоит перешагнуть"
L30_1K,Time to ride!,Время для покатушек!
L30_2R,I don't understand how you staying firm on that platforms...,"Не понимаю, как тебя не укачивает..."
L30_3K,As well as your head won't go around while you clutching the chains,"Также как и у тебя голова не ходит кругом, пока ты висишь на цепи..."
L31_1D,What about progress?,Как продвижение?
L31_2R,"You won't believe me. We are still moving, our legs are in place","Не поверишь... Мы еще шевелимся, ноги пока на месте"
L31_3K,Jumping over each other and just... some really deep holes,Чехардой прыгаем через бездонные пропасти
L31_4D,Good,Вот как
L31_5R,I think about some other ways to minimize our steps count,"Я все думаю, может есть какие-то другие пути, сокращающие общее количество шагов"
L31_6Q,Minimize? Good thought,Сократить? А это хорошая мысль.
L31_7R,"Na-ah, nonsense. If ancestors leave so many traps for fun, we need to make a pun","Да не, бред какой-то. Если предки поставили столько ловушек по приколу, значит шутка должно быть, смешная"
L31_8K,Every thing need to be tested,Каждую надо испытать
L31_9R,Well said,Верно подмечено
L32_1K,"See the goal, can't see the movement means","Вижу цель, не вижу средств для перемещения"
L32_2D,Then you need to create it,Значит их надо создать
L32_3Q,"Or just destroy the obstacle on the path, he-he-he","Или разрушить помеху на пути, хе-хе-хе"
L33_1R,"Hm, I take a note about something","Хм, я тут заметил"
L33_2K,What exactly?,Что именно?
L33_3R,"Just, every level we pass we stop talking. But our electronic log have info about things we wanted to say","Да так, каждый раз, проходя уровень, мы перестаем общаться. Но в нашем электронном логе имеются сведения о том, что мы хотели сказать"
L33_4K,"So log can tell its own story... Eh, it don't have what it takes to realtime mind reader. I don't think that it's something revolutionary, that's for sure","Так лог может рассказывать свой сюжет... Эх, жаль немного не хватило до читателя мыслей в реальном времени. Но не думаю, что я создал что-то революционное на самом деле"
L33_5D,"You failing to judge yourself miserably. Very sad, that whole science community is just a shadow of its glory in my days","Ты сильно себя недооцениваешь. Очень жаль, что научное сообщество просто тень от своего величия в мои дни"
L34_1R,Have a feeling about last dash we needed,"Чувствую, что нам остается последний рывок"
L34_2K,Hope not to dash in... some hole for example,Надеюсь не сорвемся тут... в бездну например
L35_1R,"Greetings, sculpture! Hey, give my hand back!!!","Ну привет, монумент! Эй, отдай руку!!!"
L35_2K,"It is alive, stay out!","Оно живое, берегись!"
L35_3R,"I come here for one thing - break your face, ancient Who","Я пришел сюда за одним - набить тебе харю, древний Кто"
L35_4K,"Did, we have some trouble here...","Дид, у нас тут проблемка..."
L35_5Q,"What the hell is going on here, I can't sleep!","Какого лешего тут творится, дайте поспать!"
L35_6R,...Raaaaaarghhh!,... Рааааааргх!!!
L35_7Q,Understood.,Понял.
L35_8R,"Well, I go out of box a little, nothing to talk about","Ну немного вышел за рамки, что бубнить то"
C_1Q,"There are no winners left, now I sure can't lose! Mwa-ha-ha-ha","Победителей не осталось, теперь я не смогу проиграть! А-ха-ха-ха"
C_2D,I need you to finish your artifact research and to bring any equipment you found,Заканчивай поиски артефакта и неси весь найденный инвентарь сюда
C_3K,"Damn, Did! This guy and his cohorts will cause even more problems in our absence","Вот же шь, Дид! Этот мужик и его приспешники наворотят тут дел в наше отсутствие"
C_4D,"I say, you go and finish the mission","Я говорю, ты идешь и заканчиваешь задание"
C_5K,"Maybe you're right, I better go. May it be for the better,,,","Возможно ты прав, мне лучше идти. Может оно и к лучшему"
C_6Q,"You know well, that you and your pity stuff won't change anything. And you are being stubborn still. Crazy old geezer","Прекрасно знаешь, что жалкие потуги тебя и твоих подчиненных ничего не изменят и все же упорствуешь. Сбрендивший старик"
C_7D,"Don't annoy, merchant for sale with rotten maneurs. Nothing except the sand will lasts of you later","Давай не зазнавайся, базарный торгаш с гнилыми манерами. От тебя позже кроме песка ничего не останется"
C_8Q,"Well, we see about that, gray rupture","Это мы еще посмотрим, седая грыжа"
