keys,en,ru
ED,[p][b]🕷[/b] Your enemies ought to destroy you[/p][p]—[/p][p][b]✨[/b] You are the hope of this injured world[/p][p]—[/p][p][b]🔍[/b] Research the weak spots of every monster with analyze help[/p],[p][b]🕷[/b] Ваши враги норо-вят уничтожить вас[/p][p]—[/p][p][b]✨[/b] Вы надежда этого искалеченного мира[/p][p]—[/p][p][b]🔍[/b] Исследуйте слабые стороны каждого с по-мощью анализа[/p]
AT,Aura,Аура
AD,[p][i]❤️‍🔥[/i]It's your shell preventing you from dying[/p][p]—[/p][p][i]🌡[/i]Its total capacity is shown in the inventory flask[/p][p]—[/p][p][b]🫙[/b]Support the level above 0 with water and fluids[/p],[p][i]❤️‍🔥[/i]Оболочка предохра-няющая вас от гибели[/p][p]—[/p][p][i]🌡[/i]Общий запас отоб-ражается в виде кол-бы в инвентаре[/p][p]—[/p][p][b]🫙[/b]Поддерживайте уро-вень выше 0 водой и растворами[/p]
PT,Priorities,Приоритеты
PD,[p][i]🌟[/i]You can select one of three to grow in the right menu[/p][p]—[/p][p][i]📊[/i]Each one opens different abilities and improve your stats with experience gain[/p],[p][i]🌟[/i]Вы можете выбрать один из трех приори-тетов для развития в меню справа[/p][p]—[/p][p][i]📊[/i]При получении опыта каждый откры-вает разные навыки и увеличивает опреде-лённые показатели[/p]
ST,Stats,Показатели
SD,[p][i]📈[/i]Power and influence impacting the skills use[/p][p]—[/p][p][i]🔰[/i]Vitality and reaction make sure you are safe[/p][p]—[/p][p][i]🎩[/i] Each one depends on its own priority[/p],[p][i]📈[/i]Мощь и влияние отвечают за способ-ности[/p][p]—[/p][p][i]🔰[/i]Живучесть и реак-ция отвечают за вашу сохранность[/p][p]—[/p][p][i]🎩[/i] Каждый зависит от своего приоритета[/p]
IT,Items,Предметы
ID,[p]Use it to get various effects. Check the chests[/p][p]—[/p][p][i]🥉[/i]Consumables %s[/p][p]—[/p][p][i]🥈[/i]Equipment %s[/p][p]—[/p][p][i]🥇[/i]Accessory %s[/p][p]—[/p][p][b]💠[/b] Keys %s[/p],[p]Имеют свой эффект и лежат в сундуках[/p][p]—[/p][p][i]🥉[/i]Расходники[/p][p]—[/p][p][i]🥈[/i]Экипировка[/p][p]—[/p][p][i]🥇[/i]Оснастка[/p][p]—[/p][p][b]💠[/b] Ключи[/p]
QT,Equipment,Экипировка
QD,[p][b][i]🗡🛡🧥👖🥾[/i][/b] You can equip it with special inventory slots[/p][p]—[/p][p][i]🥈🥋[/i] Each type has its own effect[/p][p]—[/p][p][b]⬛[/b] [i]🗡[/i][b]🔫[/b] Some weapons occupy first slots to use[/p],[p][b][i]🗡🛡🧥👖🥾[/i][/b] Надева-ется через специаль-ные слоты снаряжения[/p][p]—[/p][p][i]🥈🥋[/i] У каждого типа свой эффект[/p][p]—[/p][p][b]⬛[/b] [i]🗡[/i][b]🔫[/b] Часть оружия используется на пер-вых ячейках[/p]
MT,Accessory,Оснастка
MD,"[p][i]🧈[/i] Select the inspection area, then weapon and accessory[/p][p]—[/p][p][i]⚔️[/i] To pair select the weapon cell left from the area then other free / weapon slot[/p]","[p][i]🧈[/i] Нажмите на обл-асть осмотра, выбе-рите оружие и обвес[/p][p]—[/p][p][i]⚔️[/i] Для скрещивания нажмите на оружие у области, затем другой свободный слот / слот с оружием[/p]"
BT,Bestiary,Бестиарий
BD,[p][b]🔍[/b] Analyze shows enemy weak spots and saves it in the bestiary[/p][p]—[/p][p][i]🕷[/i] Enemy interrogation continues the combo. Grey bar shows how much time will take enemy transfer[/p][p]▓▓▓▓▓▓░️░️░️░️░️░️[/p],[p][b]🔍[/b] Анализ показывает слабости врагов и сох-раняет их в бестиарии[/p][p]—[/p][p][i]🕷[/i] Допытывание враг-ов продолжает комбо. Серая шкала показы-вает через какое вре-мя они перенесутся[/p][p]▓▓▓▓▓▓░️░️░️░️░️░️[/p]
CT,Craft,Ремесло
CD,[p][b]🛠[/b] Press %s on the inspection area then on any item slots[/p][p]—[/p][p][i]🎁[/i]If these materials compatible then product will be shown. Select it and slot to place the result[/p],"[p][b]🛠[/b] Нажмите %s на об-ласть осмотра, затем на предметы, выступ-ающие материалами[/p][p]—[/p][p][i]🎁[/i]Если материалы сов-местимы, то появится продукт, выберите его и слот куда нужно по-ложить результат[/p]"
OT,Books,Книги
OD,[p][i]🤠[/i]Select the Ray and come to the book / note to read[/p][p]—[/p][p][i]📖[/i] Book enables new abilities and possibilites.[/p][p]—[/p][p][i]📜[/i]Collect the notes to reveal the secret[/p],"[p][i]🤠[/i]Выберите Рея и по-дойдите к книге / запи-си для чтения[/p][p]—[/p][p][i]📖[/i] Книга даёт доступ к новым возможностям и способностям.[/p][p]—[/p][p][i]📜[/i]Собирайте записки, они раскроют тайну[/p]"
LT,Log,Лог
LD,"[p] [i]💻[/i] All the dialogs saved in the Horn™ system[/p][p]—[/p][p] [i]🗃[/i] Messages can be turn off in the settings. Floating screen panels can be toggled with "" [i]⌣[/i] "" button[/p]","[p] [i]💻[/i] Все ваши диалоги сохраняются в систе-ме Рог™[/p][p]—[/p][p] [i]🗃[/i] Cообщения отклю-чаются в настройках. Плавающие панели на экране отключается слева и справа кноп-кой "" [i]⌣[/i] ""[/p]"
GT,Luggage,Багаж
GD,[p][i]🧰[/i] Pull the [b][i]🔲[/i][/b] or press the[/p][p]—[/p][p][i]🔼[/i]Inventory %s[/p][p]—[/p][p][i]◀️[/i]Equipment %s[/p][p]—[/p][p][i]▶️[/i]Priorities %s[/p][p]—[/p][p][i]🔽[/i]Skills %s[/p],[p][i]🧰[/i] Потяните за [b][i]🔲[/i][/b] или нажмите[/p][p]—[/p][p][i]🔼[/i]Инвентарь %s[/p][p]—[/p][p][i]◀️[/i]Снаряжение %s[/p][p]—[/p][p][i]▶️[/i]Приоритеты %s[/p][p]—[/p][p][i]🔽[/i]Умения %s[/p]
TT,Battle system,Боевая система
TD,[p][i]🎯[/i] Press %s to go into the aim mode[/p][p]—[/p][p][i]👋[/i]In that mode you can select the target with %s and press the buttons in combo sequence[/p],[p][i]🎯[/i] Нажмите %s для перехода в режим наведения[/p][p]—[/p][p][i]👋[/i]В этом режиме вы-бирайте цель с помо-щью %s и нажимайте соответствующие кно-пки в последователь-ности комбо[/p]
NT,Chains,Цепи
ND,[p][b]🔗[/b] Stand near the pillar and go left and right to climb the chains[/p][p]—[/p][p][b]⛓️[/b] Face and strike the another chain with a whip to catch it[/p],"[p][b]🔗[/b] Подойдите к столбу вплотную и двигайте-сь влево-вправо, что-бы лезть по цепи [/p][p]—[/p][p][b]⛓️[/b] Для подтягивания к другой цепи нужно ударить кнутом вися лицом к ней[/p]"
RT,Springs,Пружины
RD,[p][b][i]⏏️[/i][/b] Go near the spring and press %s to jump[/p][p]—[/p][p][b]🪂[/b] Move your character mid-air and press %s to land[/p],[p][b][i]⏏️[/i][/b] Подойдите вплот-ную и нажмите %s для прыжка [/p][p]—[/p][p][b]🪂[/b] Управляйте персон-ажем в воздухе и наж-мите %s чтобы при-землиться[/p]
KAU,[b]🔼[/b],
KAD,[b]🔽[/b],
KAL,[b]◀️[/b],
KAR,[b]▶️[/b],
KLS,[b]🇱🕹[/b],
KRS,[b]🇷🕹[/b],
KLT,[b]🇱🇹[/b],
KRT,[b]🇷🇹[/b],
KLB,[b]🇱🇧[/b],
KRB,[b]🇷🇧[/b],
KY,[b]🇾[/b],
KX,[b]🇽[/b],
KA,[b]🅰️[/b],
KB,[b]🅱️[/b],
KW,[b]🪟[/b],
KSH,[b][i]⬆️[/i][/b] Shift,
KSP,[space],[пробел]
KCL,[b][i]🅰️[/i][/b] Caps Lock,
KEC,Esc,
KDL,Delete,
KPB,[b][i]⬇️[/i][/b] Pause Break,
KFN,[i]🇫🇳[/i],
KPU,[b][i]🔼[/i][/b] Page Up,
KPD,[b][i]🔽[/i][/b] Page Down,
KHM,[b][i]◀️[/i][/b] Home,
KED,[b][i]▶️[/i][/b] End,
KNL,[b][i]1️⃣[/i][/b] Num Lock,
KIN,Insert,
KPS,[b][i]📝[/i][/b] Print Screen,
TAB,[b]➡️[/b] Tab,
KGP,[b][i]⬛️[/i][/b]+,
KGM,[b][i]⬛️[/i][/b]-,
KGD,[b][i]⬛️[/i][/b]/,
KGY,[b][i]⬛️[/i][/b]*,
