keys,en,ru
HAYD,"[p][i]🧈[/i] Select the inspection area, then weapon and accessory[/p][p]—[/p][p][i]⚔️[/i] To pair select the weapon cell left from the area then other free / weapon slot[/p]","[p][i]🧈[/i] Нажмите на обл-асть осмотра, выбе-рите оружие и обвес[/p][p]—[/p][p][i]⚔️[/i] Для скрещивания нажмите на оружие у области, затем другой свободный слот / слот с оружием[/p]"
HBYT,Bestiary,Бестиарий
HBYD,[p][b]🔍[/b] Analyze shows enemy weak spots and saves it in the bestiary[/p][p]—[/p][p][i]🕷[/i] Enemy interrogation continues the combo. Grey bar shows how much time will take enemy transfer[/p][p]▓▓▓▓▓▓░️░️░️░️░️░️[/p],[p][b]🔍[/b] Анализ показывает слабости врагов и сох-раняет их в бестиарии[/p][p]—[/p][p][i]🕷[/i] Допытывание враг-ов продолжает комбо. Серая шкала показы-вает через какое вре-мя они перенесутся[/p][p]▓▓▓▓▓▓░️░️░️░️░️░️[/p]
HCFT,Craft,Ремесло
HCFD,[p][b]🛠[/b] Press %s on the inspection area then on any item slots[/p][p]—[/p][p][i]🎁[/i]If these materials compatible then product will be shown. Select it and slot to place the result[/p],"[p][b]🛠[/b] Нажмите %s на об-ласть осмотра, затем на предметы, выступ-ающие материалами[/p][p]—[/p][p][i]🎁[/i]Если материалы сов-местимы, то появится продукт, выберите его и слот куда нужно по-ложить результат[/p]"
HBKT,Books,Книги
HBKD,[p][i]🤠[/i]Select the Ray and come to the book / note to read[/p][p]—[/p][p][i]📖[/i] Book enables new abilities and possibilites.[/p][p]—[/p][p][i]📜[/i]Collect the notes to reveal the secret[/p],"[p][i]🤠[/i]Выберите Рея и по-дойдите к книге / запи-си для чтения[/p][p]—[/p][p][i]📖[/i] Книга даёт доступ к новым возможностям и способностям.[/p][p]—[/p][p][i]📜[/i]Собирайте записки, они раскроют тайну[/p]"
HLOT,Log,Лог
HLOD,"[p] [i]💻[/i] All the dialogs saved in the Horn™ system[/p][p]—[/p][p] [i]🗃[/i] Messages can be turn off in the settings. Floating screen panels can be toggled with "" [i]⌣[/i] "" button[/p]","[p] [i]💻[/i] Все ваши диалоги сохраняются в систе-ме Рог™[/p][p]—[/p][p] [i]🗃[/i] Cообщения отклю-чаются в настройках. Плавающие панели на экране отключается слева и справа кноп-кой "" [i]⌣[/i] ""[/p]"
HLGT,Luggage,Багаж
HLGD,[p][i]🧰[/i] Pull the [b][i]🔲[/i][/b] or press the[/p][p]—[/p][p][i]🔼[/i]Inventory %s[/p][p]—[/p][p][i]◀️[/i]Equipment %s[/p][p]—[/p][p][i]▶️[/i]Priorities %s[/p][p]—[/p][p][i]🔽[/i]Skills %s[/p],[p][i]🧰[/i] Потяните за [b][i]🔲[/i][/b] или нажмите[/p][p]—[/p][p][i]🔼[/i]Инвентарь %s[/p][p]—[/p][p][i]◀️[/i]Снаряжение %s[/p][p]—[/p][p][i]▶️[/i]Приоритеты %s[/p][p]—[/p][p][i]🔽[/i]Умения %s[/p]
HBST,Battle system,Боевая система
HBSD,[p][i]🎯[/i] Press %s to go into the aim mode[/p][p]—[/p][p][i]👋[/i]In that mode you can select the target with %s and press the buttons in combo sequence[/p],[p][i]🎯[/i] Нажмите %s для перехода в режим наведения[/p][p]—[/p][p][i]👋[/i]В этом режиме вы-бирайте цель с помо-щью %s и нажимайте соответствующие кно-пки в последователь-ности комбо[/p]
HCNT,Chains,Цепи
HCND,[p][b]🔗[/b] Stand near the pillar and go left and right to climb the chains[/p][p]—[/p][p][b]⛓️[/b] Face and strike the another chain with a whip to catch it[/p],"[p][b]🔗[/b] Подойдите к столбу вплотную и двигайте-сь влево-вправо, что-бы лезть по цепи [/p][p]—[/p][p][b]⛓️[/b] Для подтягивания к другой цепи нужно ударить кнутом вися лицом к ней[/p]"
HSRT,Springs,Пружины
HSRD,[p][b][i]⏏️[/i][/b] Go near the spring and press %s to jump[/p][p]—[/p][p][b]🪂[/b] Move your character mid-air and press %s to land[/p],[p][b][i]⏏️[/i][/b] Подойдите вплот-ную и нажмите %s для прыжка [/p][p]—[/p][p][b]🪂[/b] Управляйте персон-ажем в воздухе и наж-мите %s чтобы при-землиться[/p]
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
KGY,[b][i]⬛️[/i][/b]*,
