keys,en,ru
B3,"Getting up in the morning I cook breakfast with my relatives. Sometimes I catch more than enough fish in the rivers. As our people keep saying, keep knocking the door opening before you.","Встаю утром, готовлю завтрак со своими сродниками. Иногда речной улов дает полакомиться свежей рыбой. Как у нас поговаривают, продолжай стучать в ту дверь, что хочет тебе открыться..."
B4,"My glass bussiness reaches new heights. Who would thought, that burn the sand under the sun heat will be so profitable?","Мое дело стеклодува процветает, кто бы мог подумать, что обжигать песок и сушить его под палящим солнцем станет таким прибыльным?"
B5,"Strange, long birds flying above us. It seems, they like to eat dead corpses of humans and other entities.","Над нами парят странные, продолговатые птицы с массивными крыльями. Похоже их привлекают мёртвые останки людей и существ."
B6,"Some of desert plants are edible. We plant them around the Father alley, so anyone can find a salvation in Him.","Некоторые из растений пустоши оказались съедобными. Мы решили высадить их по всей аллее Отца, чтобы каждый мог найти спасение в нем."
B7,Under the heat our builders work really hard to create the temple. It is spoken that it will lead us to something higher,"Под жаром и зноем наши строители неустанно трудятся, чтобы воздвинуть храм. По слухам это подношение может приблизить нас к нечто высокому."
B8,"It's time to fight with horrifying predatory beasts, which we calling monsters. Their appearance in our lives made pollution, slowly grabbing our souls in terrible abyss. It's obstacle anchoring us from new heights","Время столкнуло нас с ужасными хищными бестиями, которых мы прозвали монстрами. Их появление вызвала скверна, захватывающая наши души в ужасную пучину и удаляющая нас от высокого."
B9,We're making it like one enormous entity. We scare our enemies with continuous researchers help. Faith in the Father keeps getting stronger,"Мы склонились под ношей словно единое сплоченное создание. Враги боялись нас, а неистощаямая помощь исследователей и вера в Отца давала нам силы."
B10,"Soon temple was built. And with that our hope for the future. Not knowing how much time will it take, we defend the temple inside and outside. Because promotion without preparation becomes destruction","Вскоре храм был построен, а вместе с ним и надежда на будущее. Не зная усталости и сколько времени на это уйдет, мы защитили храм снаружи и изнутри. Вознесение без приготовления ведет к разрушению души"
B11,"Water flow washed the rocks of our inaccessible place. It gather all kinds of illness and troubles. But it made us only stronger. You're not choosing once and for all, you're choosing every day","Омывая скалы неприступной крепости к нам занесло течением болезни и ненастья, лишь укрепляя и закаливая нас. Мы не выбираем раз и навсегда, выбор совершается каждый день"
B12,"It feels like I'm lucky. I have a loving family, good payment and own house. All hail Pharaoh! People make everything with their hands. Survival depends from understanding our goal and mutual respect.","Должно быть я счастливчик. У меня есть любящая семья, хорошее жалование и свой дом. Хвала Фараону. Всё создаётся руками простых людей. Наша выживание зависит от понимания общей цели и взаимного уважения друг к другу"
B13,"I see where it's going... Time for big trouble is near. We have hot mouths among us, making fun with our foes.","Посматривая на текущее положение дел, хочется сказать одно: время большой беды близко. Среди нас есть те, кто болтает лишнего нашим недругам."
B14,We change concept of some our challenges for descendants. But it has some hard parts. Hi-hi-hi don't say anyone what I drew here,"Для потомков мы немного поменяли концепт испытаний, но часть из них осталось неизменной. Хи-хи-хи, только не говорите, что я тут нарисовала"
B15,"Astonishing. I can't think of dissolving some entities to simplest elements. Some illegal experiments had been made, no doubt","Поразительно, подумать не мог, что некоторые существа могут распадаться на простейшие элементы. Дело пахнет запрещёнными опытами"
K1,"How can Father abandon us? It can't be... Someone playing with our minds. People may say what your good do without bad? Kindness is nature, evil is artificial. Beware of thinking evil - our thoughts are made real","Неужели Отец отвернулся от нас?! Нет-нет-нет, быть этого не может. Кто-то играет с нашим разумом, не поддавайтесь... Они говорят, что ваше добро бы делало без зла. Не верьте, добро естественно, зло искусственно, кто-то в ответе за этим"
K2,"Evil thicken its clutches above us like invisible veil, making chaos in our souls. Greed isn't thirst for more, but a fear to being left with nothing","Зло сгустилось над нами, как невидимая пелена, повергающая наши души в хаос. Жадность это не только жажда большего, но и страх остаться без всего"
K3,Every entity has its own hidden desires but can't make it to life. And they start to act tricky. People become more agressive and we don't know how to turn it back. Something definitely going on here and we are scared,"Каждая сущность имеет свои потаённые желания, но не все могут претворить в жизнь. И идут на хитрость. Люди внезапно озлобились и худшее - мы не знаем как вернуть все обратно. Похоже мы что-то натворили и это пугает нас"
K4,"Teleport development take many broken bodies. Someone can't be transferred to the end point fully, someone being dissolved and can't be brought back. Some bodies just drop dead","Создание телепорта повлекло за собой вереницу сломанных судеб. Кто-то переместился не до конца, кого-то расщепило, но не собрало обратно. Чьи-то тела падали замертво"
K5,I keep faith in our Pharaoh but it's inhumane to follow these milestones,"Сколько бы я не верил в нашего вождя, те сроки, что были нам назначены - просто нечеловеческие."
K6,"Today my friend being killed, lying under sand blocks. Hoping I don't write any story like that again","Сегодня на моих глазах погиб мой товарищ, заваленный песчаными блоками. Надеюсь впредь таких историй не повторится"
K7,"I don't know that we're after. First, we have anything we need... Second, it is still not enough...","Неизвестно, чего именно мы добиваемся. С одной стороны у нас есть все что необходимо, с другой... Этого все ещё мало..."
K8,"Out pharaoh knows something. He speaks with the ""Father"". Envy makes animals out of people. We have to stop. We can reach anything but not everything we see under our control","Наш фараон по-любому что-то знает. Он общается с неким ""Отцом"". Зависть делает из людей непокорных зверей. Нам необходимо образумиться. Добиться можно всего, но далеко не всё что видимо - подвластно"
K9,"Beware the Master. He is a mad man, going under anoiting himself. The more you understand life the more unbearable it becomes","Берегитесь Мастера, похоже он явно не в себе, раз решился идти на помазание сам. Чем больше ты понимаешь жизнь, тем сложнее она становится"
K10,I don't think it's fair that we break our back over somebody that don't even born. They will surely forgot about us,"Мне кажется нечестным, что мы гнем и ломаем спины ради тех, кого ещё нет. Про нас все равно забудут."
W1,"Torch box is innovative technology, supporting fire keeping with Father resource. With its touch fire won't stop burning","Ящик-факел - инновационная технология, позволяющая поддерживать тепло за счёт ресурса Отца. С его прикосновением огонь долгое время не затухает."
W2,Cave architecture made with outside temperature changes in mind. Sunset feels cold and dawn feels warm inside. There are more than one way to solve the problem,"Архитектура пещер составлена с тем учётом, что во время солнцестояния там прохладно, а ночью тепло. Существует больше чем один путь для решения одной проблемы"
W3,"Boxes seems to be much more capable, when using rock-sand gear. It is really good at building something","Ящики оказались куда крепче, после использования смеси песчано-каменного покрытия. Они отлично проявили себя в строительстве."
W4,We making it to the goal with temple of such scale. It's pyramid form make base stands better on sand. Time will only make whole construction tighter. It's true civilization long lasting miracle,"У строительства храма такого масштаба есть реальная цель. Его форма в виде пирамиды способствует утоплению фундамента в песок, что со временем повышает стойкость конструкции. Это настоящее долговечное чудо цивилизации"
W5,"We learned to use chains for transfering small weights. I call it ""Supply chain"". Why load everything right and now, when we can make it step by step?","По цепям мы научились передавать маленькие грузы для продолжения раскопок. Прозвали этот феномен ""Цепочкой поставок"". Зачем загружать все и сразу, когда можно сделать это по частям?"
W6,"Last researches shown, what near caves has unique toned crystals, allowing to translate resource to the energy.","Исследования показали, что в близлежащих пещерах находятся уникальные кристаллы разных оттенков, позволяющие улавливать и преобразовывать ресурс в энергию."
W7,"After experimenting with glass, we found ideal form for the sprinkler, connector of our mechanisms","После проведения множества экспериментов со стеклом, мы нашли идеальную форму оросителя для подключения наших механизмов."
W8,I did it! I created first smart creatures! A-ha-ha-ha! Even after all the failed samples but who cares anyway,"Я сделал это! Я создал разумных существ! А-ха-ха-ха! Пусть и пришлось избавиться от огромного количества экземпляров, но кому есть дело"
W9,"I learned useful data about mountain fauna. Then I select most durable fruitful plant kinds. So much things go unnoticed. We just invented revolutionary book printing, but no one cares yet","Изучение полезной горной фауны не прошло даром. Удалось вывести самые живучие виды растений, способные обильно плодоносить. Так много вещей остаются без внимания. Мы только изобрели книгопечатание, но никому пока нет дела"
W10,Most decribed classification about alive creature has been made. It's two groups - monsters and peacemakers. Humility isn't the indifference but accepting reality,"Подготовлена наиболее полная классификация живых существ относящихся к двум группам - монстрам и миротворцам. Смирение - это не безразличие, а принятие действительности."
G1,"To got the aromatic, tasty tea we soaking tamarisk leaf in water, then slowly pour boiling water over it","Для получения ароматного, вкусного чая замачиваем листья Тамариска в воде, затем медленно обдаем его кипятком"
G2,"Anticough created from Yukka powder then dilluted with water. Mind is like a field, what you sow that you'll reap","Антикашель изготавливается из порошка Юкки, затем разбавляется водой. Разум словно поле - что посеешь, то и пожнёшь"
G3,To get rid of common poison fever make the melted opuntia fluid,Чтобы избавиться от лихорадочных последствий яда общего действия необходимо изготовить раствор из предварительно измельченной опунции
G4,Tumbleweed leafs can be used to create a product restoring human resource,"Листья суккулента могут быть применены для приготовления раствора, восстанавливающего Ресурс человека"
G5,If you want to use red butter on your weapon properly you need to place accessory before yourself and drive carefully along the equipment,Для правильной обработки оружия красным маслом необходимо расположить оснастку перед собой и бережно водить вдоль снаряжения
G6,"To setup a pump mechanism, pick up a gun and with slight slap snap it to the trunk","Чтобы установить помповый механизм, возьмите ружье и легким движением руки прибейте его ко стволу"
G7,Resource power can be transferred remotely. It will save it main properties if you make it to the projectile,"Силу ресурса возможно передавать удалённо, сохраняя основные свойства, если сжать его до снаряда"
G8,Entity research helps improve your battle skill efficiency,Существа при детальном изучении позволяют значительно улучшить ваши навыки в бою
G9,Flower cactus can restore not only aura but hero status if you standing around it more than few seconds,"Цветочный кактус может восстанавливать не только ауру, но и ваш статус, если вы общаетесь с ним дольше нескольких секунд"
G10,Aura is really fluid taking enemy form. Even the smalles candle can create a great fire in the forest,"Аура может быть очень гибкой, подстраиваясь под противника. Даже малейшая свечка может устроить великий пожар в лесу"
R1,When gunshot encounters solid walls it can provoke chain reaction,При столкновении дроби с твёрдыми поверхностями можно вызвать цепную реакцию
R2,"When pain is real no abstract idea can comfort you. To tame a monster, grab it to yourself then perform suffocating maneur","Когда боль реальна, ни одна абстрактная идея тебя не выручит. Чтобы не дать вырваться монстру, прижмите его к себе и начните удушающий манёвр"
R3,"Pollution covers alive creatures inside and outside. More I speak with people, the more I see their betrayal","Скверна окутывает и пробирает живых существ изнутри и снаружи. Чем больше общаюсь с людьми, тем отчётливее вижу, как они пытаются меня обмануть"
R4,"Smart entities able to resist pollution influence. Those who being possessed describe it as obsessive intrusive thoughts, like in the dream","Разумные сущности способны противостоять влиянию скверны. Те, кто испытывал одержимость, описывали её как сильное навязчивое влечение, словно во сне"
R5,Unlucky ones with less cognitive capability mutated and become eerie monsters,"Существа, которым повезло меньше с когнитивными способностями мутировали и стали похоже на жутких чудовищ"
R6,All the evidence points to continuation of long gone experiments with embalming and mummyfication,"Всё указывает на то, что некоторые из наших умов вопреки многочисленным запретам продолжили эксперименты с бальзамированием и муммификацией"
R7,When you holding all the power - there is no need to fight at all. Hard to imagine that a possessed man will cause such a problem,"Когда ты управляешь всем - нет нужды сражаться. Но тяжело представить, что одержимый человек приведёт к стольким проблемам"
R8,Monsters with a rare exception don't feel danger far away but they become extremely aggressive against any near subject,"Судя по всему, монстры за редким исключением не замечают угрозы издалека, но становится крайне агрессивны к ближайшим раздражителям"
R9,There are more possession grades. We quite sure that entities of other realm trying to use people like a vessel to making stance in our world,"Есть несколько градаций одержимости. Мы уверены, что сущности неосязаемой нами реальности пытаются использовать людей в качестве сосуда для нахождения в нашем мире"
R10,"Monsters getting old much faster and they can't be defended against that nature. But each monster has its own will, remember about their patterns, when going around","Монстры стареют куда быстрее и их нельзя уберечь от естественной гибели. У каждого есть своя воля, помните об их поведении, когда проходите мимо них"
R11,Some monsters still can multiply but the whole ecosystem of this region won't be same anymore,"Некоторые из монстров по прежнему способны давать потомство, но боюсь целая экосистема этого региона не будет прежней"
R12,"Good shape, descendant! Time passes by, but being strong and healthy is always important. My name if Uf-Rubi and I'm going to create strong complex for strong spirits","Физкульт-привет, потомок! Сколько бы лет не прошло, а быть сильным и здоровым важно во все времена. Меня зовут Уф-Руби и я собираюсь сделать крепкий комплекс для крепких духом"
R13,"Your shotgun - your continuation, split your resource onto small gunshot then use walls for ricochet","Ваше ружье - ваше продолжение, разбейте ваш ресурс на мелкую дробь, затем используйте стены для рикошета"
R14,For fast lunge you need durable stance. Practice day after day and you won't recognize yourself anymore!,Для резкой атаки нужна прочная стойка. Практикуйтесь день за днём и вы не узнаете сами себя!
R15,"This sword technique I got from my father, he got from his father and grandfather from his father...","Эту технику с мечом мне поведал ещё мой отец, тот получил ее от деда, а тот от прадеда..."
R16,"Too much time passes from the day, when I almost lost my hand in fight. Hope this knowledge will serve you well","Столько времени утекло с того дня, когда я чуть не потерял руку в схватке. Надеюсь это знание хорошо послужит"
R17,"How much repeat you need! Don't repeat, I repeat, don't repeat the skill standing far away from enemy, keep your energy","Ну сколько можно! Не повторяйте, повторяю, не повторяйте прием, находясь вдали от противника, поберегите свои силы"
R18,Aura and resource. Heard that some outer tribes use other names. The thing is how you watch at it. Will it be you restraint or your inspiration,"Аура и ресурс... Я был наслышан, что далекие от нас племена называли их по другому. И правда, как на это посмотреть, для кого ограничение, а для кого вдохновение"
R19,You need to control your body in order to direct your personal borders. Take the hit only when needed,Управление своим телом важно для направления личных границ. Подставляйтесь под удар только при необходимости
R20,"When others in conflict about that global problem, I ask you. Are we guilty? The act reveal true human nature, the tools only help with that","Пока остальные спорят о решениях этой глобальной проблемы, я спрошу вас. Виноваты ли мы в этом? Поступки обличают истинную природу человека, данные инструменты лишь помогают ему в этом"
R21,"I am just the bricklayer, working here, don't see the payroll yet. It's delight that I am allowed to have my own rye crops","Я просто каменщик, работаю здесь, пока так и не увидел зарплаты, благо мне разрешают вести мои ржаные посевы"
R22,Hello there again. Give you somekind of useful advice - different monster kinds won't stand before various combinations. Don't forget about that in furious fight,И снова привет. Дам полезный совет - различные виды монстров не устойчивы перед разными комбинациями. Не забывайте об этом в пылу битвы
R23,"It may sound silly, but most of skills being adapted from our daily routines. Use monsters as you please. Barni, get out of here, I don't have time for you here...","Может прозвучать смешно, но большинство техник было адаптировано из наших повседневных задач. Используй монстров на свое усмотрение. Отвянь барни, не до тебя..."
R24,"Not every one, who wrote his name in red history, made it alive. Someone left us early, don't let anything behind","Не все те, кто написал свое имя в красной истории, остался в живых. Кто-то покинул нас рано, не оставив за собой ничего"
R25,"Mama, did you saw my boomerang? Write down here if you found any. I go outside to play with worm","Мама, ты не видела мой бумеранг? Напиши здесь если найдёшь, я ушёл играть с червячком"
R26,"Still alive if you reading it? Lucky one, try this technique in fight if you able. Why this path so easy? Enemy will find any means to weaken and remove you from the way. How about to teach him a lesson?","Всё ещё жив, раз читаешь это? Везунчик, попробуй эту технику в бою, если сможешь. Почему этот путь так прост? Противник найдет любые средства ослабить и убрать тебя с дороги. Как насчет ответить ему?"
R27,Don't understimate the enemy able to paralyze you or one of your senses. It's like watch in the face of death without turning your gaze,"Недооценивать врага, способного парализовать вас, либо лишить вас чувств словно смотреть в глаза смерти, не отводя взгляда"
R28,"Resource able to fill the object shape. But using it like that can few people. Like water, containing in glass or glay. It's presented in live beings","Ресурс способен принимать форму объекта, к которому он применён. Но использовать его таким образом могут лишь немногие. Словно вода, содержащаяся в стекле или глине. Он также находится в живых существах"
R29,"Technique-technique-technique. Listen to me here, if you really want to succeed, keep it simple and act accordingly. You won't get through if you stop your punch midair","Техника-техника-техника. Послушай сюда, если хочешь реально преуспеть, делай всё просто и действуй по ситуации. Ты не пробьешься сквозь помеху, если будешь бить в пол силы"
R30,How much hits does it take to beat some creatures. It's ridiculuous. They should have any weak spot. How does it feel when you can't do anything and it drives you crazy?,"Сколько бы я не бил по некоторым существам, всё без толку. Должно же у них быть слабое место. Каково это, когда не можешь ничего сделать и это сводит тебя с ума?"
